usnews_cs_rank,school,location,city,state,tie,official_url,cs_department_url,cs_jobs_url,faculty_jobs_url,careers_url,source,source_url,source_file,notes
65,University at Buffalo--SUNY,"Buffalo, NY",Buffalo,NY,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
65,University of Central Florida,FL,,FL,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
69,Emory University,"Atlanta, GA",Atlanta,GA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
69,George Washington University,"Washington, DC",Washington,DC,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
69,Oregon State University,"Corvallis, OR",Corvallis,OR,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
69,Rensselaer Polytechnic Institute,NY,,NY,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
69,University of Delaware,"Newark, DE",Newark,DE,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
69,University of Iowa,"Iowa City, IA",Iowa City,IA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
69,William & Mary,"Williamsburg, VA",Williamsburg,VA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
76,Case Western Reserve University,OH,,OH,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
76,Georgetown University,DC,,DC,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
76,Rochester Institute of Technology,NY,,NY,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
76,Syracuse University,"Syracuse, NY",Syracuse,NY,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
76,University of Georgia,"Athens, GA",Athens,GA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
